name,rest_type,dish_liked,rate,votes,location
Albert Bakery,Bakery,"Chicken Seekh, Mutton Samosa, Veg Samosa, Chicken Cutlet, Naan, Chicken Puff, Chicken Roll",4.3/5,346,Frazer Town
Paratha Plaza,Quick Bites,"Paratha, Panneer Butter Masala, Dal Tadka, Shahi Paneer, Sweet Lassi, Dal Makhani, Biryani",3.7 /5,156,Indiranagar
WOW! Momo,Food Court,"Chicken Momo, Chicken Sizzler, Chocolate Momos, Momo Burger, Burgers, Veg Momos, Corn Momo",3.9 /5,285,Malleshwaram
Eshmeet Da Dhaba,Casual Dining,"Tandoori Chicken, Butter Chicken, Lassi, Shahi Paneer, Tandoori Roti, Rumali Roti, Biryani",3.1 /5,121,Koramangala 6th Block
Richie Rich,"Dessert Parlor, Quick Bites","Tawa Pulav, Faluda, Pav Bhaji, Ice Cream Sundae, Brownie, Hot Chocolate Fudge, Fruit Salad",4.0/5,624,Race Course Road
Annapoorani,Casual Dining,"Filter Coffee, Deluxe Thali, Jolada Rotti, Ghee Roast Dosa, Pongal, Idiyappam, Akki Rottis",3.9/5,434,Indiranagar
Manjit Da Dhaba,Quick Bites,"Lassi, Shahi Paneer, Kheer, Paneer Bhurji, Methi Paratha, Paneer Parantha, Stuffed Paratha",4.3/5,783,Frazer Town
Uno Chicago Bar & Grill,"Bar, Casual Dining","Deep Dish Pizza, Mocktails, Burgers, Onion Rings, Thin Crust Pizza, Chicken Tenders, Pasta",4.2 /5,156,Whitefield
Have More,Casual Dining,"Lassi, Punjabi Chicken, Tandoori Chicken, Paratha, Butter Chicken, Aloo Tikki, Dahi Bhalle",3.9/5,198,Kammanahalli
Skyye,Lounge,"Cocktails, Long Island Iced Tea, Mojito, Peri Peri Chicken, Mocktails, Chicken Satay, Beer",4.2 /5,3130,Lavelle Road
Bangalore Cafe,Quick Bites,"Sabudana Vada, Masala Dosa, Filter Coffee, Pesarattu Upma, Podi Idli, Mirchi Bajji, Pongal",3.7/5,197,HSR
Sandwichwallas,Quick Bites,"Garlic Bread, Sandwiches, Aloo Tikki Burger, Club Sandwich, White Sauce Pasta, Garlic Rice",3.9/5,104,Jayanagar
Cafe Nosh,Cafe,"Pasta Arrabiata, Pizza, Salsa, Burgers, Crispy Chicken Salad, Chicken Jumbo Burger, Nachos",4.2 /5,583,Sahakara Nagar
Jamavar - The Leela Palace,Fine Dining,"Chicken Chettinad, Vegetable Stew, Lobster, Kulfi, Chicken Curry, Butter Naan, Papdi Chaat",4.2/5,519,Old Airport Road
Rajathadri Food Fort,Casual Dining,"Butter Naan, Filter Coffee, Pav Bhaji, Vada, Babycorn Manchurian, Tea, Paneer Tikka Masala",4.0/5,465,Jayanagar
Float Brewery,"Microbrewery, Casual Dining","Pork Tonkatsu, Mocktails, Ginger Pork, Craft Beer, Wheat Beer, Falafel Burger, Brewed Beer",4.3/5,416,Kalyan Nagar
The Black Rabbit,"Bar, Casual Dining","Burgers, Spicy Fries, Cosmopolitan, Cocktails, Peri Peri Chicken, Custard, Pepperoni Pizza",4.3 /5,4239,Indiranagar
Taco Bell,Quick Bites,"Tacos, Nachos, Tikka Masala Burrito, Chicken Quesadilla, Salsa, Mexican Fries, Paneer Taco",4.2/5,387,Indiranagar
Gobble Up Churros Cafe,Dessert Parlor,"Churros, Empanadas, Hot Chocolate, Chocolate Banana, Salad, Chocolate Shake, Patata Bravas",4.3/5,374,Indiranagar
The Local,"Pub, Casual Dining","Beer, Cocktails, Prawn Ghee Roast, Bbq Chicken Pizza, Chicken Nachos, Appam, Chicken Steak",4.2/5,1198,Kalyan Nagar
Grilliez,Cafe,"Burgers, Pita Bread, Fries, Charcoal Chicken, Falafel Wrap, Barbeque Chicken, Saffron Rice",4.1/5,564,HSR
Mamaji's,Casual Dining,"Masala Chaach, Vegetable Biryani, Paratha, Thali, Buttermilk, Sweet Lassi, Paneer Parantha",3.6/5,453,Electronic City
South House,Casual Dining,"Egg Biryani, Dum Ka Chicken, Roti, Butter Chicken, Fried Fish, Butter Naan, Mutton Biryani",4.2 /5,120,Brookefield
Kylie's,Quick Bites,"Chicken Teriyaki Bao, Kaffir Lime, Walnut Brownie, Rice Bowls, Khao Suey, Veg Bao, Snapper",4.2/5,261,Indiranagar
Rivayat,Casual Dining,"Naan, Tandoori Roti, Chicken Biryani, Dal Makhani, Shahi Paneer, Dum Biryani, Paneer Tikka",3.9 /5,487,Whitefield
House Of Kebabs,Casual Dining,"Rolls, Shawarma, Butter Chicken, Mutton Biryani, Lahori Chicken, Chicken Roll, Grape Juice",3.8/5,540,Basavanagudi
Mangalore pearl - Seafood Restaurant,Casual Dining,"Sea Food, Murgh Ghee Roast, Fish Fry, Neer Dosa, Bread Pudding, Caramel Custard, Crab Soup",4.3/5,94,Ulsoor
Soda Bottle Opener Wala,"Casual Dining, Irani Cafee","Pancakes, Cocktails, Berry Pulao, Kanda Bhajiya, Brownie Chocolate, Crispy Okra, Mocktails",4.4/5,3657,Lavelle Road
Punjabi Twist,Quick Bites,"Mutton Thali, Salad, Palak Paneer, Chicken Curry, Butter Chicken, Buttermilk, Shahi Paneer",4.2 /5,220,Marathahalli
The Chameleon,Bar,"Mutton Biryani, Stuffed Mushroom, Onion Pakoda, French Fries, Paneer Pakora, Afghani Kebab",4.1/5,163,Electronic City
Buff Buffet Buff,"Casual Dining, Bar","Egg Chilli, Butter Naan, Watermelon Juice, Chocolate Halwa, Fry Prawns, Mocktails, Salads",4.5/5,3156,Koramangala 5th Block
154 Breakfast Club,Cafe,"Pancakes, Waffles, Bbq Sandwich, Mushroom Ragout, Big Breakfast, Nutella Waffle, Omelette",4.0 /5,1515,Koramangala 3rd Block
The Permit Room,"Casual Dining, Bar","Cocktails, Chicken Curry, Beer, Watermelon Mojito, Bbq Mushroom, Kokum Sharbat, Brain Fry",4.5 /5,1611,Brigade Road
The Waffle Press,Dessert Parlor,"Waffles, Liege Waffle, Ice Cream Sandwiches, Salted Caramel Ice Cream, Ice Cream Sandwich",4.2 /5,122,St. Marks Road
Ruh's Cafe,Cafe,"Coffee, Pasta, Basil Pesto Chicken, Exotic Veg Pizza, Basil Soup, Nachos, Chicken Sizzler",4.1 /5,465,BTM
SlimSins Cafe,Cafe,"Hummus Platter, Juicy Lamb Burger, Salmon Steak, Mousse, Pasta, Pizza, Sweet Potato Fries",4.1/5,710,Jayanagar
Subway,"Quick Bites, Food Court","Salads, Chicken Tikka, Veg Shammi, Teriyaki Chicken, Sandwich, Veggie Delight, Aloo Patty",3.7 /5,219,Koramangala 5th Block
Chichaba's Taj,Casual Dining,"Biryani, Butter Chicken, Phirni, Paya Soup, Bheja Fry, Panneer Butter Masala, Butter Naan",4.1 /5,245,Basaveshwara Nagar
Ithaca - The Chancery Pavilion,Fine Dining,"Salads, Sunday Brunch, Cocktails, Watermelon Juice, Fish, Club Sandwich, Breakfast Buffet",3.9 /5,312,Residency Road
Zeeshan,Casual Dining,"Rolls, Kathi Roll, Mutton Roll, Chicken Roll, Firni, Chicken Tikka, Bengali Style Biryani",3.8/5,214,Koramangala 7th Block
Northam's Pizza.Pita,Quick Bites,"Exotic Garlic Bread, Spicy Falafel, Burgers, Pasta, Pita Pocket, Pita Pizza, Veggie Pizza",4.1/5,671,HSR
Smoke House Deli,Casual Dining,"Cocktails, Burgers, Salads, Veg Burger, Peri Chicken, Pasta Alfredo, Hazelnut Mousse Flan",4.6 /5,2513,Lavelle Road
CTR,Quick Bites,"Benne Masala Dosa, Filter Coffee, Chai, Butter Masala Dosa, Crispy Vada, Tea, Kesari Bath",4.8 /5,4421,Malleshwaram
The Fat Chef,Casual Dining,"Caesar Salad, Khao Suey, Beef Steak, Veggie Pizza, Pasta, Peri Peri Chicken Pizza, Mousse",4.1/5,1739,Whitefield
Chantilly,"Cafe, Bakery","Sandwiches, Cheesecake, Tiramisu, Blueberry Cake, Hot Chocolate, Red Velvet Cake, Brownie",4.1 /5,124,Indiranagar
The Buffet Table,Casual Dining,"Gajar Ka Halwa, Gulab Jamun, Vanilla Ice Cream, Fish, Salad, Chicken Biryani, Tomato Soup",NEW,0,HSR
People Tree Cafe,Cafe,"Chocolate Shake, Nachos, Babycorn Manchurian, Cheese Maggi, French Fries, Tea, Oreo Shake",3.7/5,167,Jayanagar
Falafel's - The Lebanese Haus,Quick Bites,"Falafel, Shawarma, Chicken Shawarama, Salad, Whole Wheat Pita, Middle Eastern Food, Pizza",2.9 /5,53,Koramangala 7th Block
Central Jail Restaurant,Casual Dining,"Lime Soda, Manchow Soup, Biryani, Lemon Chicken, Tomato Soup, Butter Naan, Chilli Chicken",3.8/5,416,Jayanagar
Sea Spice by 7 Star,Casual Dining,"Sea Food, Neer Dosa, Anjal Masala Fry, Coconut Pudding, Chicken Biryani, Roti, Fish Curry",4.0/5,350,Banashankari
Atta Galata,Quick Bites,"Sandwiches, Masala Pav, Chicken Burger, Filter Coffee, Burgers, Masala Chai, French Fries",4.1 /5,209,Koramangala 5th Block
Bob's Bar,"Bar, Casual Dining","Mutton Chops, Filter Coffee, Donne Biryani, Pork Ribs, Roast Beef, Honey Cake, Keema Dosa",4.3/5,424,Indiranagar
Cakesta,Bakery,"Eggless Cake, Choco Mocha, Choco Almond, Blueberry Cake, Chocolate Cake, Choco Strawberry",4.1/5,119,"ITPL Main Road, Whitefield"
Happy Belly Bakes,"Bakery, Cafe","Hot Chocolate, Brownie, Chocolate Truffle, Apple Tart, Cup Cake, Macaroon, Chocolate Cake",4.1/5,252,Frazer Town
Cafe Arabica,"Quick Bites, Bakery","Baklava, Chocolate Mousse, Fruit Custard, Cup Cake, Fruit Tart, Brownie, Blueberry Mousse",4.1/5,147,Frazer Town
Dragon's Kitchen,Casual Dining,"Hakka Noodles, Honey Chilli Chicken, Garlic Butter Noodle, Dragon Chicken, Garlic Chicken",3.1/5,248,HSR
Woodstok,"Takeaway, Delivery","Buffalo Chicken Wings, Chips, Peri Peri Prawn, Cocktails, Mocktails, Pizza, Mushroom Soup",4.1 /5,1054,Indiranagar
Luo Han,Casual Dining,"Thai Noodles, Singapore Noodles, Manchow Soup, Momos, Clear Soup, Spring Roll, Vegetarian",3.6/5,777,HSR
Watson's,Pub,"Chicken Tikka, Cocktails, Draught Beer, Pizza, Beef Chilli, Cheese Chilli Toast, Calamari",4.1 /5,495,Vasanth Nagar
Little Bites,Quick Bites,"Pasta, Sandwiches, Chicken Jumbo Burger, Burgers, Lime Soda Sweet, Sandwich, Fried Cheese",3.8 /5,184,New BEL Road
Cafe Orio,Cafe,"Sandwiches, Oreo Shake, Burgers, Pasta, Veg Burger, Paneer Tikka Sandwich, Oreo Milkshake",4.0/5,147,BTM
Hunan,Casual Dining,"Noodles, Chicken Momo, Momos, Lunch Buffet, Garlic Butter Noodle, Crab Soup, Jasmine Tea",4.3 /5,2248,Koramangala 5th Block
Barleyz,"Lounge, Microbrewery","Tandoori Chicken, Fish Chilli, Cocktails, Pizza, Craft Beer, Chaat, Long Island Iced Tea",3.8 /5,4660,Koramangala 6th Block
Magix's Parattha Roll,Quick Bites,"Rolls, Chicken Roll, Tandoori Chicken, Biryani, Chicken Lollipop, Paratha, Chicken Grill",3.7/5,184,BTM
Khawa Karpo,Quick Bites,"Momos, Noodles, Thukpa, Chicken Thupka, Manchow Soup, Chicken Momo, Crispy Honey Chicken",4.3 /5,996,Koramangala 5th Block
Amontron,Casual Dining,"Katla Kalia, Basanti Pulao, Biryani, Aloo Posto, Mutton Kosha, Ilish, Mutton Dak Bunglow",3.9/5,438,BTM
Snow Lion Tibet Kitchen,Quick Bites,"Momos, Thukpa, Noodles, Honey Chilli Potatoes, Clear Soup, Chicken Noodle, Crispy Noodle",3.9 /5,263,New BEL Road
Bella,Casual Dining,"Ghee Roast Paneer, Murgh Ghee Roast, Fish Fry, Neer Dosa, Appam, Sea Food, Chicken Sukha",3.9/5,143,Jayanagar
Chicken County Grand,Casual Dining,"Chicken Grill, Fish, Shawarma, Rolls, Tandoori Chicken, Hyderabadi Chicken, Chicken Roll",3.9/5,319,Bannerghatta Road
Mama Mia!,"Dessert Parlor, Cafe","Gelato, Strawberry Sundae, Hot Chocolate, Brownie, Wedges, Peri Peri Fries, Thick Shakes",4.3/5,422,Indiranagar
Sichuan,Casual Dining,"Singapore Noodles, Fish, Clear Soup, Manchow Soup, Lemongrass Tea, Nasi Goreng, Pad Thai",4.1/5,268,Bellandur
Chaarcoal,Casual Dining,"Egg Biryani, Raita, Gulab Jamun, Chicken Biryani, Fish, Stuffed Kulcha, Chicken Lollipop",4.0 /5,468,Bellandur
Indian Coffee House & Restaurant,Casual Dining,"Buttermilk, Chicken Dosa, Masala Dosa, Filter Coffee, Tea, Chicken Sandwich, Paneer Dosa",4.2 /5,676,Koramangala 5th Block
Bundar,Cafe,"Burgers, Cheese Burger, Mojito, Peri Peri Fries, Apple Pie, Tea, Peri Peri Chicken Wings",4.1/5,2448,Koramangala 6th Block
1522 - The Pub,Pub,"Biryani, Cocktails, Mocktails, Chilli Chicken, Wheat Beer, Chicken Wings, Devils Chicken",4.3 /5,969,New BEL Road
Sri Laxmi Venkateshwara Coffee Bar,Quick Bites,"Masala Dosa, Idli Chutney, Kharabath, Filter Coffee, Kesari Bath, Idli Vada, Maddur Vada",4.4 /5,344,Banashankari
Khan Saheb Grills And Rolls,Quick Bites,"Rolls, Beda Roti, Chicken Baida Roti, Chicken Tikka Roll, Aloo Tikka Roll, Mushroom Roll",3.2 /5,136,Sarjapur Road
Rajanna Military Hotel,Quick Bites,"Biryani, Chicken Curry, Paya Soup, Paratha, Mutton Keema, Chicken Guntur, Pepper Chicken",4.1/5,166,Jayanagar
Dyu Art Cafe,Cafe,"Coffee, Chocolate Mocha, Hot Chocolate, Chocolate Cake, Sandwiches, Pizza, Bannoffee Pie",4.5 /5,3854,Koramangala 5th Block
Harshi Super Sandwich,Quick Bites,"Sandwiches, Chocolate Sandwich, Chaat, Veg Cheese Sandwich, Chilli Cheese, Corn Sandwich",3.8 /5,149,Basavanagudi
Veruthe Oru Thattukada,Casual Dining,"Kadala Curry, Egg Roast, Beef Fry, Fish Fry, Chicken Curry, Fish Curry, Malabari Biryani",3.8/5,149,Bannerghatta Road
Goa 0 Km,Casual Dining,"Sea Food, Crab Meat, Crab Soup, Fish Curry, Chicken Cafreal, Butter Naan, Butter Chicken",3.6/5,164,Kumaraswamy Layout
Pashto,Casual Dining,"Biryani, Kulfi Faluda, Peshawari Paneer, Dal Tadka, Yakhni Shorba, Tandoori Roti, Phirni",4.1/5,768,Residency Road
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Felix,"Casual Dining, Cafe","Burgers, Sandwiches, Peanut Butter Smoothie, Margherita Pizza, Ravioli, Cocktails, Salad",4.4/5,691,MG Road
Raaga,Casual Dining,"Panner Tikka, Chicken Biryani, Thali, Gajar Ka Halwa, Lunch Buffet, Raita, Tandoori Aloo",3.8/5,298,Indiranagar
Glassy,Club,"Cocktails, Mocktails, Chicken Chatpata, Beer, Chilli Chicken, Fish Tikka, Masala Peanuts",4.2/5,707,Bellandur
Curry Leaves,Casual Dining,"Andhra Meal, Vegetable Biryani, Veg Thali, Chicken Chettinad, French Chicken, Manchurian",3.8 /5,232,Jayanagar
Cheesiano Pizza,Quick Bites,"Pasta, Fries, Cheesiano Pizza, Veggie Pizza, Cheesy Garlic Bread, Peri Peri Paneer Pizza",4.0/5,205,JP Nagar
Soho Bar & Grill,Pub,"Thai Chicken, Chicken Lollipop, Cocktails, Jeera Rice, Rolls, Draught Beer, French Fries",2.7/5,377,Basavanagudi
Jashn,Casual Dining,"Chicken Curry, Lunch Buffet, Chicken Biryani, Paratha, Lassi, Gajar Halwa, Chicken Grill",3.7/5,132,Marathahalli
Kerala Pavilion,Quick Bites,"Fish Curry, Roast Chicken, Kerala Parotta, Appam, Mutton Pepper Fry, Sea Food, Ghee Rice",3.9 /5,307,Domlur
Magnolia,Casual Dining,"Noodles, Pinacolada, Mocktails, Salad, Thai Green Curry, Spicy Crabmeat Soup, Clear Soup",4.1 /5,676,Koramangala 3rd Block
Eddy's Cafe,Cafe,"Dark Chocolate Shake, Cappuccino, Pancakes, Hot Chocolate, Wedges, Waffles, Garlic Bread",4.1 /5,142,Indiranagar
Oh My Biryani,"Takeaway, Delivery","Raita, Butter Chicken Biryani, Shahi Tukda, Gulab Jamun, Coconut Chicken, Mutton Biryani",3.7/5,439,HSR
South Kitchen,Quick Bites,"Kharabath, Crispy Vada, Filter Coffee, Idli Vada, Idli Chutney, Kesari Bath, Gulab Jamun",4.3/5,275,Basavanagudi
nu.tree,"Quick Bites, Beverage Shop","Healthy Breakfast, Kadhi, Sprout Salad, Rajma Chawal, Salads, Onion Paratha, Dal Makhani",4.3 /5,185,Whitefield
Clean Slate Cafe,Cafe,"Fries, Burgers, Peri Peri Potato Wedge, Pasta Arrabiata, Cappuccino, Nachos, Pesto Pasta",4.1 /5,274,Malleshwaram
Truly Punjab,"Takeaway, Delivery","Raita, Sarson Ka Saag, Sarso Da Saag, Paneer Tikka Masala, Makke Ki Roti, Chole, Dal Fry",4.1/5,373,Koramangala 1st Block
Thamboola,Casual Dining,"Spring Roll, Manchow Soup, Babycorn Manchurian, Mint Cooler, Roti, Panneer Butter Masala",3.8/5,139,Banashankari
Gufha - The President Hotel,Casual Dining,"Cocktails, Paneer Tikka, Rasmalai, Rabri, Masala Papad, Vegetable Biryani, Chicken Curry",4.1/5,1885,Jayanagar
Terracotta Whitefield,Fine Dining,"Dal Makhani, Galauti Kebab, Dum Biryani, Rasgulla, Fish, Garlic Kheer, Tandoori Broccoli",4.0 /5,244,Whitefield
Chai Point,Beverage Shop,"Banana Cake, Ginger Lemon Tea, Poha, Mango Shake, Masala Chai, Paneer Sandwich, Vada Pav",3.8 /5,94,Marathahalli
The Dhaba,Casual Dining,"Paratha, Vegetarian, Makke Ki Roti, Curd Rice, Chicken Biryani, Malai Kofta, Sweet Lassi",2.7 /5,444,Marathahalli
Chez Mariannick,Casual Dining,"Pizza, Salad, Banana Toffee Cheesecake, Caramel Custard, Croissants, Crepe, Creme Brulee",4.1 /5,395,Whitefield
TBC Sky Lounge,"Casual Dining, Bar","Kulcha, Cocktails, Peri Peri Chicken, Masala Peanuts, Virgin Colada, Apple Pie, Sea Food",4.7/5,6745,HSR
East Delicious,Casual Dining,"Noodles, Momos, Chicken Dumplings, Chicken Momo, Chowmein, Honey Chilli Potatoes, Thukpa",4.0 /5,501,Marathahalli
Punjabi by Nature 2.0,"Casual Dining, Microbrewery","Beer, Tandoori Chicken, Dahi Kebab, Paneer Tikka, Dal Makhani, Mocktails, Butter Chicken",4.2 /5,489,Whitefield
Swathi Greenland,"Casual Dining, Bar","Beer, Chilli Chicken, Naan, Chicken Biryani, Tandoori Chicken, Chicken Guntur, Neer Dosa",3.7 /5,174,Vijay Nagar
New Delicacy,Casual Dining,"Momos, Hakka Noodles, Nasi Goreng, Dragon Prawn, American Chopsuey, Garlic Butter Noodle",3.7/5,86,HSR
Noodle Bar,Casual Dining,"Crispy Thread Paneer, Hakka Noodles, Momos, Clear Soup, Prawn, Mocktails, Chilli Chicken",4.0 /5,1070,Whitefield
Nook - Aloft Bengaluru Cessna Business Park,Casual Dining,"Chicken Quesadilla, Naan, Breakfast Buffet, Cheesecake, Cocktails, Lunch Buffet, Biryani",4.2 /5,411,Bellandur
The Marina,Casual Dining,"Sea Food, Jumbo Prawns, Malabar Fish Curry, Crab Soup, Mocktails, Ghee Rice, Veg Starter",4.4/5,542,Indiranagar
Ramana's,Casual Dining,"Palak Soup, Mushroom Masala, Dal Makhani, Kebab Platter, Jal-jeera, Mushroom Soup, Roti",4.0/5,378,Cunningham Road
LOFT38,"Lounge, Casual Dining","Cocktails, Mushroom Pizza, Pork Ribs, Mocktails, Nachos, Sea Food, Long Island Iced Tea",4.3 /5,3655,Indiranagar
Danny Lambas Punjabi Dhaba,Casual Dining,"Tandoori Chicken, Paneer Makhani, Mutton Roganjosh, Paratha, Aloo Jeera, Butter Chicken",3.5 /5,98,Indiranagar
Nossa Goa,Casual Dining,"Breakfast Platter, Roast Chicken, Sea Food, Calamari, Waffles, Chorizo Pav, Prawn Curry",4.1/5,294,Richmond Road
On The Nose,Cafe,"Pasta, Sandwiches, Peppy Paneer Pizza, Sandwich, Thick Shakes, Onion Rings, Tomato Soup",3.8 /5,616,BTM
Shaap,Casual Dining,"Buttermilk, Fish Curry, Biryani, Beef Fry, Pazham Pori, Chicken Malabari, Chicken Curry",4.0 /5,243,Indiranagar
Chili's American Grill & Bar,"Casual Dining, Bar","Veg Platter, Burgers, Mushroom Soup, Cocktails, Nachos, Lemon Margarita, Chicken Fajita",4.8 /5,6433,Malleshwaram
The Fisherman's Wharf,"Casual Dining, Bar","Sea Food, Caesar Salad, Jumbo Prawns, Cocktails, Mocktails, Goan Fish Curry, Curry Crab",4.3/5,4108,Sarjapur Road
Indian Food Court,Quick Bites,"Paratha, Chicken Butter Masala, Chicken Parantha, Palak Paneer, Hariyali Chicken, Thali",3.8/5,234,Electronic City
Indian Kitchen,Casual Dining,"Cocktails, Biryani, Paneer Makhani, Sangria, Tandoori Chicken, Veg Pulao, Tomato Shorba",4.2 /5,485,Malleshwaram
Hotel Fanoos,Quick Bites,"Rolls, Shawarma, Chicken Shawarama, Beef Shwarma, Haleem, Beef Seekh Roll, Chicken Roll",4.0 /5,789,Richmond Road
A2B - Adyar Ananda Bhavan,Casual Dining,"Filter Coffee, Masala Dosa, Chilli Babycorn, Pav Bhaji, Pongal, Rava Dosa, Paneer Tikka",2.7/5,426,Bannerghatta Road
Jose's Mess,Mess,"Beef Fry, Masala Dosa, Chicken Curry, Fish Fry, Chicken Biryani, Roast Beef, Beef Curry",4.3 /5,317,BTM
Gods Own Cafe,Quick Bites,"Appam, Buttermilk, Fry Prawns, Roast Beef, Masala Prawn, Chicken Stew, Murgh Ghee Roast",4.4 /5,384,Koramangala 7th Block
The Krishna Grand,Casual Dining,"Spring Dosa, Coffee, Spring Roll, Masala Papad, Rava Idli, Panneer Butter Masala, Chaat",3.9/5,891,Banashankari
New Krishna Bhavan,Quick Bites,"Neer Dosa, Filter Coffee, Button Idli, Benne Masala Dosa, Puri Saagu, Badam Halwa, Vada",4.2 /5,600,Malleshwaram
Juicy Momos,Quick Bites,"Rolls, Burgers, Juicy Momos, Chicken Momo, Chocolate Momos, Mushroom Momo, Paneer Momos",3.5/5,80,Banashankari
Patio 805,Casual Dining,"Noodles, Laksa Soup, Coffee, Veg Fritters, Vegetarian, Babycorn Manchurian, Mango Salad",4.1/5,364,Jayanagar
Eat N Drink,Quick Bites,"Sandwiches, Fruit Juices, Burgers, Chicken Sandwich, Omelette, French Fries, Oreo Shake",3.8 /5,87,BTM
Hunger Hitman,Delivery,"Halwa, Chicken Biryani, Butter Chicken, Kheer, Brownie Chocolate, Chilli Chicken, Raita",3.8/5,257,Koramangala
Loca Moca,Cafe,"Coffee, Hazelnut Cappuccino, Chicken Keema Roll, Chicken Sandwich, Grilled Chicken Wrap",3.7 /5,46,Koramangala 1st Block
Saara's Grill n Spice - SS Lumina Hotel,Casual Dining,"Baklava, Chicken Wings, Mutton Biryani, Pizza, Vegetable Biryani, Arabic Cuisine, Salad",4.3 /5,108,Koramangala 7th Block
Anupam's Coast II Coast,Casual Dining,"Murgh Ghee Roast, Sea Food, Neer Dosa, Fish, Prawn Ghee Roast, Appam, Ghee Roast Paneer",4.2 /5,859,Church Street
Smoke - The Sizzler House,Casual Dining,"Butter Garlic Prawns, Mocktails, Noodles, Salads, Brownie, Pasta Sizzler, Chicken Steak",4.0 /5,1390,Koramangala 7th Block
Fishing Boat - Hotel Goyal Residency,Casual Dining,"Sea Food, Prawn Biryani, Neer Dosa, Crab Sukha, Chicken Biryani, Fish, Murgh Ghee Roast",3.9/5,418,Electronic City
Kudla - Coraltree,Casual Dining,"Sea Food, Neer Dosa, Anjal Fry, Murgh Ghee Roast, Prawn Ghee Roast, Beer, Chicken Sukha",3.8 /5,280,RT Nagar
Mahadii's,Casual Dining,"Sea Food, Andhra Meal, Mutton Biryani, Mutton Chops, Noodles, Brownie, Tandoori Chicken",3.8 /5,223,Kammanahalli
Swathi Maharaja,Casual Dining,"Murgh Ghee Roast, Mutton Biryani, Buttermilk, Andhra Meal, Thali, Chilli Chicken, Prawn",3.7 /5,291,Koramangala 4th Block
Rim Naam - The Oberoi,Fine Dining,"Seafood Soup, Mocktails, Mushroom Salad, Thai Salad, Wine, Jasmine Rice, Thai Red Curry",4.6 /5,988,MG Road
Tippler,Pub,"Cocktails, Pie, Peri Peri Fries, Long Island Iced Tea, Chicken Steak, Mocktails, Nachos",4.2 /5,2946,Indiranagar
Pathaan Sir,Quick Bites,"Rolls, French Fries, Chicken Momo, Roti, Pulpy Grape Juice, Mutton Keema, Chicken Kebab",3.4/5,155,Indiranagar
Bhagini IRIS,Casual Dining,"Biryani, Tandoori Chicken, Curd Rice, Kalmi Kebab, Chilli Chicken, Chicken Tikka Masala",3.6/5,115,Whitefield
Bombay Brasserie,Casual Dining,"Beer, Butter Chicken, Vegetable Biryani, Cocktails, Kulfi, Keema Pav, Chur Chur Paratha",4.3 /5,588,Bellandur
Lenny's- Burgers and more,Quick Bites,"Burgers, Club Chicken Sandwich, Fries, Lamb Burger, Cheese Sandwich, Chicken Bbq Burger",3.9 /5,38,Whitefield
Chianti,Casual Dining,"Pizza, Pasta, Salads, Potato Mash, Bruschettas, Blueberry Cheesecake, Virgin Pinacolada",4.6 /5,848,"ITPL Main Road, Whitefield"
Eden Huts Restaurant,Casual Dining,"Roti, Chicken Kebab, Panneer Butter Masala, Ghee Rice, Butter Naan, Biryani, Jeera Rice",4.0 /5,223,Bellandur
Howrah Bridge,Casual Dining,"Rasgulla, Egg Devils, Mutton Kosha, Luchi, Chicken Biryani, Aalo Bhaja, Mughlai Paratha",3.2 /5,294,HSR
Hunger Bee,Quick Bites,"Chicken Curry, Chicken Biryani, Jeera Rice, Paneer Biryani, Ghee Rice, Roti, Aloo Matar",3.8/5,54,Bannerghatta Road
Doff Pub and Lounge,Lounge,"Beer, Cocktails, Pasta, Chicken Lollipop, Jalapeno Cheeseballs, Nachos, Chicken Fingers",4.1/5,1341,Indiranagar
SLV Corner Restaurant,Casual Dining,"Masala Dosa, Filter Coffee, Maddur Vada, Curd Vadai, Onion Dosa, Upma, Sunday Breakfast",4.1/5,364,Basavanagudi
Countryside - The Taste of Chettinad,Casual Dining,"Poricha Kozhi, Brain Fry, Fry Prawns, Mutton Sukha, Paratha, Dum Biryani, Chicken Sukha",3.9/5,293,Kalyan Nagar
Tandoor Box,Casual Dining,"Rolls, Butter Chicken, Tandoori Momos, Tangdi Kabab, Tandoori Roti, Paratha, Soya Chaap",3.9 /5,168,Whitefield
The Terrace at Gilly's Redefined,"Microbrewery, Casual Dining","Cocktails, Beer, Mocktails, Biryani, Long Island Iced Tea, Drunken Prawn, Sunday Brunch",4.6/5,866,Koramangala 4th Block
Lazeez,Casual Dining,"Rolls, Phirni, Mutton Biryani, Kadhai Murgh, Tandoori Roti, Chicken Roll, Chicken Chaap",2.4/5,318,Koramangala 1st Block
Kapoor's Cafe,Casual Dining,"Lassi, Mushroom Masala, Chaach, Aloo Paratha, Chole Kulcha, Kadai Paneer, Chole Bhature",4.1 /5,488,Kalyan Nagar
Wolf'ish,Cafe,"Burgers, Peri Peri Chicken, Fries, Mojito, Bbq Chicken Pizza, Mozzarella Sticks, Pasta",4.1 /5,481,Church Street
3 Spice,Casual Dining,"Manchow Soup, Shawarma, Momos, Hyderabadi Biryani, Vegetarian, Noodles, Dragon Chicken",3.9/5,157,Wilson Garden
